Date;Return_SP_500
02.12.2014;0.0063844086021505
03.12.2014;0.00376472865403676
04.12.2014;-0.00116182092531081
05.12.2014;0.00166512220549042
08.12.2014;-0.00725653738851384
09.12.2014;-0.000237828287976027
10.12.2014;-0.0163509432863066
11.12.2014;0.00453571816360165
12.12.2014;-0.0162135869858941
15.12.2014;-0.00634261085834997
16.12.2014;-0.008489015545604
17.12.2014;0.0203524032563847
18.12.2014;0.0240152218948875
19.12.2014;0.00457008679283732
22.12.2014;0.00381039770120495
23.12.2014;0.00174641815889998
24.12.2014;-0.000139277772708279
26.12.2014;0.0033095087132784
29.12.2014;0.000861751174136005
30.12.2014;-0.00488861889341197
31.12.2014;-0.0103107650155021
02.01.2015;-0.000339987371897776
05.01.2015;-0.0182781070838597
06.01.2015;-0.00889348602876405
07.01.2015;0.0116298230808796
08.01.2015;0.0178883459203316
09.01.2015;-0.00840389110341677
12.01.2015;-0.00809366151378366
13.01.2015;-0.00257856487827002
14.01.2015;-0.00581306258434133
15.01.2015;-0.00924788815027322
16.01.2015;0.0134241996918707
20.01.2015;0.00154994998563929
21.01.2015;0.00473165063904468
22.01.2015;0.0152697675334135
23.01.2015;-0.00549160264643866
26.01.2015;0.00256845142361417
27.01.2015;-0.0133878439932138
28.01.2015;-0.0134956024734546
29.01.2015;0.00953470252127708
30.01.2015;-0.0129919604205319
02.02.2015;0.0129624709898295
03.02.2015;0.0144394685404658
04.02.2015;-0.00415603674092579
05.02.2015;0.0102914019524762
06.02.2015;-0.00341814867249779
09.02.2015;-0.00424720380253651
10.02.2015;0.0106755132552254
11.02.2015;-0.0000290052644554839
12.02.2015;0.00964453017360145
13.02.2015;0.00407473377767542
17.02.2015;0.00159752788520717
18.02.2015;-0.00031423483816917
19.02.2015;-0.00106206660062491
20.02.2015;0.00612648692459916
23.02.2015;-0.000303274415960009
24.02.2015;0.00275873837490415
25.02.2015;-0.000765783651937135
26.02.2015;-0.00147597286480672
27.02.2015;-0.00295630916171574
02.03.2015;0.00612497030173431
03.03.2015;-0.00453860649195459
04.03.2015;-0.0043885035440131
05.03.2015;0.00119607534798161
06.03.2015;-0.0141739329094162
09.03.2015;0.00394445892838147
10.03.2015;-0.0169613788393934
11.03.2015;-0.00191765810895428
12.03.2015;0.0126014586519232
13.03.2015;-0.00607468718991255
16.03.2015;0.0135336515048212
17.03.2015;-0.00332021583805409
18.03.2015;0.0121584356981699
19.03.2015;-0.00487258871159801
20.03.2015;0.00901271736060916
23.03.2015;-0.00174564773967067
24.03.2015;-0.00613945885327072
25.03.2015;-0.0145589289983264
26.03.2015;-0.00237742898037407
27.03.2015;0.00236850424336743
30.03.2015;0.0122366595181025
31.03.2015;-0.00879572820001528
01.04.2015;-0.00396539467766654
02.04.2015;0.0035296573756245
06.04.2015;0.00660873940472961
07.04.2015;-0.00206188539954433
08.04.2015;0.00268261788829327
09.04.2015;0.00445746673711511
10.04.2015;0.00520280415841778
13.04.2015;-0.00458122032672714
14.04.2015;0.00162968414714015
15.04.2015;0.00514829376288262
16.04.2015;-0.000778494562405529
17.04.2015;-0.0113112176304875
20.04.2015;0.00923514544633353
21.04.2015;-0.00148067034850508
22.04.2015;0.00508751770141469
23.04.2015;0.00235772974819248
24.04.2015;0.00225279588060201
27.04.2015;-0.00414130491242815
28.04.2015;0.00276918991711406
29.04.2015;-0.00374037715863751
30.04.2015;-0.0101288653677289
01.05.2015;0.0109229876624901
04.05.2015;0.00294077190519326
05.05.2015;-0.0118373697676507
06.05.2015;-0.00445569668718226
07.05.2015;0.00377376631492909
08.05.2015;0.0134578544061301
11.05.2015;-0.00508955153348145
12.05.2015;-0.00294965634841093
13.05.2015;-0.000304889668051311
14.05.2015;0.0107792306812549
15.05.2015;0.00076846919051432
18.05.2015;0.00304796182274703
19.05.2015;-0.000643434153672739
20.05.2015;-0.000930525464910237
21.05.2015;0.00233788837406235
22.05.2015;-0.00223388179198625
26.05.2015;-0.0102819299549401
27.05.2015;0.00916262712669913
28.05.2015;-0.00126678847928874
29.05.2015;-0.00631840021878649
01.06.2015;0.00205941947147892
02.06.2015;-0.00100865167421982
03.06.2015;0.00211888509670088
04.06.2015;-0.00862317709441973
05.06.2015;-0.00143617833422405
08.06.2015;-0.00647448669982742
09.06.2015;0.000418414066407635
10.06.2015;0.0120424007884046
11.06.2015;0.00173855215656493
12.06.2015;-0.00699430023804326
15.06.2015;-0.00462248878998728
16.06.2015;0.00568980488670778
17.06.2015;0.0019796879248577
18.06.2015;0.00990268705604525
19.06.2015;-0.00530350172540595
22.06.2015;0.00609481561523983
23.06.2015;0.000635937536801912
24.06.2015;-0.00735335655776292
25.06.2015;-0.00297356514810909
26.06.2015;-0.000390047138623784
29.06.2015;-0.0208661473525926
30.06.2015;0.00265838533465534
01.07.2015;0.00693613040506813
02.07.2015;-0.000308074438486128
06.07.2015;-0.00386174751297685
07.07.2015;0.00608093737311233
08.07.2015;-0.0166527333352552
09.07.2015;0.00226220024625245
10.07.2015;0.012338456888525
13.07.2015;0.0110660592693896
14.07.2015;0.00445322918651159
15.07.2015;-0.000734962896227875
16.07.2015;0.00801461516560686
17.07.2015;0.00110625197124681
20.07.2015;0.000771169544445893
21.07.2015;-0.00426165730073114
22.07.2015;-0.0023876822023301
23.07.2015;-0.00567604001608213
24.07.2015;-0.0107033275456081
27.07.2015;-0.00577501021806559
28.07.2015;0.012386102029367
29.07.2015;0.00731876268959764
30.07.2015;0.0000284553038314428
31.07.2015;-0.00227161711632673
03.08.2015;-0.00275686363982064
